gene_symbol,uniprot,accession_count,main_location,additional_location,if_reliability
ABR,Q12979,1,Cytosol,Nucleoplasm,Approved
ABRA,Q8N0Z2,1,,,
ABRACL,Q9P1F3,1,Nucleoplasm,Cytosol,Approved
ABRAXAS1,Q6UWZ7,1,Nuclear bodies,,Supported
ABRAXAS2,Q15018,1,Cytosol,,Supported
ABT1,Q9ULW3,1,Vesicles,,Approved
ABTB1,Q969K4,1,Cytosol,Nucleoli,Supported
ABTB2,Q8N961,1,Nucleoplasm,Vesicles,Supported
AC000120.2,,0,,,
AC000120.3,,0,Vesicles,,Approved
AC001226.2,,0,,,
AC002094.3,,0,,,
AC002456.2,,0,,,
AC002996.1,,0,,,
AC003002.1,,0,,,
AC003002.2,,0,,,
AC003002.3,,0,,,
AC003006.1,,0,Nucleoplasm,,Approved
AC004076.1,,0,,,
AC004080.3,,0,,,
AC004223.3,,0,,,
AC004556.3,,0,Mitochondria,Nucleoli fibrillar center,Supported
AC004593.2,,0,Nucleoplasm,Nuclear bodies,Uncertain
AC004691.2,,0,Plasma membrane,,Approved
AC004706.3,,0,,,
AC004832.3,,0,,,
AC004922.1,,0,Cell Junctions,Cytosol,Approved
AC004997.1,,0,,,
AC005154.5,,0,,,
AC005324.2,,0,Cytosol,Plasma membrane,Approved
AC005551.1,,0,,,
AC005697.1,,0,,,
AC005702.1,,0,,,
AC005726.1,,0,"Vesicles, Plasma membrane",Nucleoplasm,Approved
AC005833.1,,0,Mitochondria,Nucleoplasm,Approved
AC005837.2,,0,,,
AC006059.2,,0,Centriolar satellite,"Nucleoplasm, Cytosol",Approved
AC006486.1,,0,Nucleoplasm,Cytosol,Approved
AC006486.3,,0,,,
AC006538.2,,0,,,
AC007040.2,,0,,,
AC007325.1,,0,,,
AC007325.2,,0,Mitochondria,"Nucleoplasm, Vesicles",Approved
AC007325.4,,0,,,
AC007326.4,,0,,,
AC007846.2,,0,,,
AC007906.2,,0,,,
AC007998.2,,0,,,
AC008162.2,,0,Nucleoli,,Uncertain
AC008397.1,,0,,,
AC008397.2,,0,"Centrosome, Cytosol",Midbody ring,Approved
AC008403.1,,0,"Plasma membrane, Cytosol",,Uncertain
AC008676.3,,0,,,
AC008687.1,,0,,,
AC008687.4,,0,,,
AC008695.1,,0,Cytosol,Centrosome,Approved
AC008758.1,,0,,,
AC008758.5,,0,Nucleoplasm,Centriolar satellite,Uncertain
AC008763.3,,0,,,
AC008764.4,,0,,,
AC008770.2,,0,Nucleoplasm,,Uncertain
AC008770.4,,0,,,
AC008878.1,,0,,,
AC008982.1,,0,Mitochondria,,Uncertain
AC009070.1,,0,,,
AC009163.5,,0,,,
AC009412.1,,0,,,
AC009779.3,,0,,,
AC009879.2,,0,,,
AC010132.3,,0,,,
AC010255.2,,0,,,
AC010319.2,,0,Nuclear membrane,,Approved
AC010325.1,,0,,,
AC010422.5,,0,"Nuclear membrane, Endoplasmic reticulum",,Approved
AC010522.1,,0,,,
AC010531.1,,0,,,
AC010646.1,,0,,,
AC010973.3,,0,,,
AC010980.1,,0,,,
AC011005.1,,0,Cytosol,,Approved
AC011043.1,,0,,,
AC011043.2,,0,,,
AC011448.1,,0,,,
AC011455.2,,0,"Nucleoplasm, Mitochondria",Vesicles,Uncertain
AC011462.1,,0,,,
AC011479.1,,0,,,
AC011499.1,,0,,,
AC011530.1,,0,,,
AC011841.1,,0,,,
AC012184.2,,0,Nucleoplasm,,Uncertain
AC012213.5,,0,Mitochondria,Nucleoplasm,Approved
AC012254.6,Q3SY89,1,Nucleoplasm,"Nucleoli, Cytosol",Approved
AC012254.7,Q8NG57,1,Nucleoplasm,"Nucleoli, Cytosol",Supported
AC012309.1,,0,,,
AC012488.2,,0,Cytosol,,Approved
AC012531.3,,0,,,
AC013394.1,,0,,,
AC013470.2,,0,,,
AC013477.1,,0,Centrosome,,Approved
AC013489.1,,0,Microtubules,"Nucleoplasm, Cytokinetic bridge",Approved
AC015802.6,,0,,,
AC018630.2,,0,,,
AC018709.1,,0,,,
AC018755.2,,0,,,
AC019117.1,,0,,,
AC020765.6,,0,,,
AC020907.6,,0,Nucleoplasm,Plasma membrane,Approved
AC020909.1,,0,,,
AC021072.1,,0,,,
AC022150.4,,0,Nucleoli rim,,Approved
AC022414.1,,0,,,
AC022506.1,P0DPQ6,1,,,
AC023055.1,,0,Nuclear speckles,Cytoplasmic bodies,Approved
AC023491.2,,0,,,
AC024592.3,,0,Mitochondria,,Approved
AC024598.1,,0,"Vesicles, Centriolar satellite, Centrosome",,Approved
AC025165.3,,0,,,
AC025287.4,,0,,,
AC026316.4,,0,,,
AC026464.3,,0,,,
AC026464.4,,0,Midbody,,Approved
AC026464.6,,0,,,
AC026786.1,,0,,,
AC034102.2,,0,,,
AC037459.1,,0,,,
AC048338.2,,0,,,
AC053503.6,,0,,,
AC055839.2,,0,,,
AC058822.1,,0,Nucleoplasm,,Supported
AC063943.2,,0,,,
AC064824.1,,0,,,
AC068533.4,,0,,,
AC068580.4,,0,,,
