statistic,seer_site_id,site_label,recode_group,sex,rate_per_100k,rate_se,rate_lower_ci,rate_upper_ci,observed_count,count_population,period,rate_basis,requested_sex_was_substituted
incidence,46,Larynx,Respiratory System,female,0.937903,0.014061,0.910544,0.965920,4642,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,46,Larynx,Respiratory System,male,4.280376,0.032203,4.217488,4.343999,18623,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,47,Lung and Bronchus,Respiratory System,both,47.172044,0.072713,47.029634,47.314797,434448,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,47,Lung and Bronchus,Respiratory System,female,43.569693,0.094673,43.384332,43.755698,217732,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,47,Lung and Bronchus,Respiratory System,male,52.001109,0.114668,51.776603,52.226369,216716,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,50,Bones and Joints,Bones and Joints,both,1.050685,0.011711,1.027856,1.073894,8343,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,50,Bones and Joints,Bones and Joints,female,0.911514,0.015378,0.881620,0.942159,3686,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,50,Bones and Joints,Bones and Joints,male,1.203876,0.017944,1.168959,1.239577,4657,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,51,Soft Tissue including Heart,Soft Tissue including Heart,both,3.510219,0.020915,3.469344,3.551462,29346,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,51,Soft Tissue including Heart,Soft Tissue including Heart,female,2.988889,0.026901,2.936393,3.042101,13036,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,51,Soft Tissue including Heart,Soft Tissue including Heart,male,4.158181,0.033285,4.093196,4.223947,16310,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,53,Melanoma of the Skin,Skin excluding Basal and Squamous,both,22.343925,0.051612,22.242879,22.445327,195301,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,53,Melanoma of the Skin,Skin excluding Basal and Squamous,female,17.945309,0.064939,17.818253,18.073066,80732,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,53,Melanoma of the Skin,Skin excluding Basal and Squamous,male,28.320310,0.085824,28.152343,28.489045,114569,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,55,Breast,Breast,female,132.529813,0.175638,132.185788,132.874533,603016,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,55,Breast,Breast,male,1.246895,0.017944,1.211969,1.282589,5081,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""male"", ""seer_site_id"": 55, ""statistic"": ""incidence""}]"
incidence,57,Cervix Uteri,Female Genital System,female,7.677088,0.045232,7.588686,7.766249,30381,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""female"", ""seer_site_id"": 57, ""statistic"": ""incidence""}, {""requested_sex"": ""male"", ""returned_sex"": ""female"", ""seer_site_id"": 57, ""statistic"": ""incidence""}]"
incidence,58,"Corpus and Uterus, NOS",Female Genital System,female,28.659175,0.079467,28.503631,28.815392,136959,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""female"", ""seer_site_id"": 58, ""statistic"": ""incidence""}, {""requested_sex"": ""male"", ""returned_sex"": ""female"", ""seer_site_id"": 58, ""statistic"": ""incidence""}]"
incidence,61,Ovary,Female Genital System,female,10.448848,0.049382,10.352282,10.546112,47251,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""female"", ""seer_site_id"": 61, ""statistic"": ""incidence""}, {""requested_sex"": ""male"", ""returned_sex"": ""female"", ""seer_site_id"": 61, ""statistic"": ""incidence""}]"
incidence,62,Vagina,Female Genital System,female,0.657493,0.012023,0.634136,0.681526,3130,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""female"", ""seer_site_id"": 62, ""statistic"": ""incidence""}, {""requested_sex"": ""male"", ""returned_sex"": ""female"", ""seer_site_id"": 62, ""statistic"": ""incidence""}]"
incidence,63,Vulva,Female Genital System,female,2.587543,0.023884,2.540939,2.634822,12274,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""female"", ""seer_site_id"": 63, ""statistic"": ""incidence""}, {""requested_sex"": ""male"", ""returned_sex"": ""female"", ""seer_site_id"": 63, ""statistic"": ""incidence""}]"
incidence,66,Prostate,Male Genital System,male,123.225221,0.169589,122.893053,123.558106,553816,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""male"", ""seer_site_id"": 66, ""statistic"": ""incidence""}, {""requested_sex"": ""female"", ""returned_sex"": ""male"", ""seer_site_id"": 66, ""statistic"": ""incidence""}]"
incidence,67,Testis,Male Genital System,male,6.107379,0.040843,6.027587,6.187964,22769,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""male"", ""seer_site_id"": 67, ""statistic"": ""incidence""}, {""requested_sex"": ""female"", ""returned_sex"": ""male"", ""seer_site_id"": 67, ""statistic"": ""incidence""}]"
incidence,71,Urinary Bladder (Invasive & In Situ),Urinary System,both,17.921832,0.045330,17.833094,18.010918,161030,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,71,Urinary Bladder (Invasive & In Situ),Urinary System,female,7.633634,0.039893,7.555642,7.712276,37677,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,71,Urinary Bladder (Invasive & In Situ),Urinary System,male,30.953953,0.090427,30.776970,31.131712,123353,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,72,Kidney and Renal Pelvis,Urinary System,both,17.958053,0.045927,17.868148,18.048312,159928,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,72,Kidney and Renal Pelvis,Urinary System,female,12.258162,0.052593,12.155294,12.361712,57216,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,72,Kidney and Renal Pelvis,Urinary System,male,24.440375,0.078236,24.287271,24.594228,102712,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,75,Eye and Orbit,Eye and Orbit,both,0.817949,0.009986,0.798492,0.837769,7030,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,75,Eye and Orbit,Eye and Orbit,female,0.731002,0.013165,0.705423,0.757290,3275,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,75,Eye and Orbit,Eye and Orbit,male,0.929614,0.015545,0.899393,0.960607,3755,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,76,Brain and Other Nervous System,Brain and Other Nervous System,both,6.053009,0.027451,5.999322,6.107062,50808,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,76,Brain and Other Nervous System,Brain and Other Nervous System,female,5.130505,0.035279,5.061589,5.200137,22359,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,76,Brain and Other Nervous System,Brain and Other Nervous System,male,7.088815,0.042974,7.004834,7.173566,28449,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,80,Thyroid,Endocrine System,both,13.732160,0.042270,13.649435,13.815263,110349,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,80,Thyroid,Endocrine System,female,20.035754,0.072468,19.893966,20.178293,80402,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
incidence,80,Thyroid,Endocrine System,male,7.412641,0.043803,7.327033,7.499014,29947,seer_registries,2019-2023,observed_seer_incidence_age_adjusted_per_100k,[]
