statistic,seer_site_id,site_label,recode_group,sex,rate_per_100k,rate_se,rate_lower_ci,rate_upper_ci,observed_count,count_population,period,rate_basis,requested_sex_was_substituted
mortality,55,Breast,Breast,female,18.928734,0.042280,18.845955,19.011807,212409,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,55,Breast,Breast,male,0.261793,0.005415,0.251284,0.272639,2457,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""male"", ""seer_site_id"": 55, ""statistic"": ""mortality""}]"
mortality,57,Cervix Uteri,Female Genital System,female,2.144294,0.015392,2.114231,2.174683,21058,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""female"", ""seer_site_id"": 57, ""statistic"": ""mortality""}, {""requested_sex"": ""male"", ""returned_sex"": ""female"", ""seer_site_id"": 57, ""statistic"": ""mortality""}]"
mortality,58,"Corpus and Uterus, NOS",Female Genital System,female,5.403727,0.021844,5.360997,5.446740,63748,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""female"", ""seer_site_id"": 58, ""statistic"": ""mortality""}, {""requested_sex"": ""male"", ""returned_sex"": ""female"", ""seer_site_id"": 58, ""statistic"": ""mortality""}]"
mortality,61,Ovary,Female Genital System,female,5.709446,0.022804,5.664836,5.754345,65619,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""female"", ""seer_site_id"": 61, ""statistic"": ""mortality""}, {""requested_sex"": ""male"", ""returned_sex"": ""female"", ""seer_site_id"": 61, ""statistic"": ""mortality""}]"
mortality,62,Vagina,Female Genital System,female,0.185681,0.004065,0.177797,0.193852,2171,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""female"", ""seer_site_id"": 62, ""statistic"": ""mortality""}, {""requested_sex"": ""male"", ""returned_sex"": ""female"", ""seer_site_id"": 62, ""statistic"": ""mortality""}]"
mortality,63,Vulva,Female Genital System,female,0.638087,0.007517,0.623437,0.653022,7481,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""female"", ""seer_site_id"": 63, ""statistic"": ""mortality""}, {""requested_sex"": ""male"", ""returned_sex"": ""female"", ""seer_site_id"": 63, ""statistic"": ""mortality""}]"
mortality,66,Prostate,Male Genital System,male,18.895185,0.047189,18.802806,18.987910,167329,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""male"", ""seer_site_id"": 66, ""statistic"": ""mortality""}, {""requested_sex"": ""female"", ""returned_sex"": ""male"", ""seer_site_id"": 66, ""statistic"": ""mortality""}]"
mortality,67,Testis,Male Genital System,male,0.292953,0.006013,0.281284,0.304981,2461,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,"[{""requested_sex"": ""both"", ""returned_sex"": ""male"", ""seer_site_id"": 67, ""statistic"": ""mortality""}, {""requested_sex"": ""female"", ""returned_sex"": ""male"", ""seer_site_id"": 67, ""statistic"": ""mortality""}]"
mortality,71,Urinary Bladder (Invasive & In Situ),Urinary System,both,4.070130,0.014047,4.042643,4.097769,85569,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,71,Urinary Bladder (Invasive & In Situ),Urinary System,female,1.984952,0.013025,1.959503,2.010678,23794,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,71,Urinary Bladder (Invasive & In Situ),Urinary System,male,6.990836,0.028736,6.934627,7.047393,61775,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,72,Kidney and Renal Pelvis,Urinary System,both,3.423724,0.012879,3.398527,3.449071,73083,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,72,Kidney and Renal Pelvis,Urinary System,female,2.097853,0.013601,2.071278,2.124711,24677,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,72,Kidney and Renal Pelvis,Urinary System,male,5.037724,0.023477,4.991814,5.083966,48406,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,75,Eye and Orbit,Eye and Orbit,both,0.107001,0.002309,0.102521,0.111636,2244,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,75,Eye and Orbit,Eye and Orbit,female,0.092043,0.002917,0.086413,0.097969,1052,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,75,Eye and Orbit,Eye and Orbit,male,0.124650,0.003709,0.117484,0.132151,1192,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,76,Brain and Other Nervous System,Brain and Other Nervous System,both,4.386284,0.014965,4.356999,4.415724,90554,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,76,Brain and Other Nervous System,Brain and Other Nervous System,female,3.593252,0.018633,3.556824,3.629980,39640,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,76,Brain and Other Nervous System,Brain and Other Nervous System,male,5.283888,0.024049,5.236855,5.331252,50914,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,80,Thyroid,Endocrine System,both,0.503712,0.004949,0.494058,0.513518,10685,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,80,Thyroid,Endocrine System,female,0.488741,0.006574,0.475940,0.501826,5730,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,80,Thyroid,Endocrine System,male,0.519487,0.007562,0.504769,0.534538,4955,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,83,Hodgkin Lymphoma,Lymphoma,both,0.247431,0.003574,0.240473,0.254546,5000,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,83,Hodgkin Lymphoma,Lymphoma,female,0.181089,0.004163,0.173021,0.189457,1998,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,83,Hodgkin Lymphoma,Lymphoma,male,0.326705,0.006106,0.314845,0.338907,3002,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,86,Non-Hodgkin Lymphoma,Lymphoma,both,4.770024,0.015316,4.740051,4.800150,99659,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,86,Non-Hodgkin Lymphoma,Lymphoma,female,3.609482,0.017812,3.574654,3.644592,42323,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,86,Non-Hodgkin Lymphoma,Lymphoma,male,6.248180,0.026682,6.195991,6.300707,57336,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,89,Myeloma,Myeloma,both,2.824722,0.011687,2.801861,2.847734,59832,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,89,Myeloma,Myeloma,female,2.257747,0.013996,2.230397,2.285378,26660,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,89,Myeloma,Myeloma,male,3.561909,0.019994,3.522828,3.601326,33172,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,90,Leukemia,Leukemia,both,5.738873,0.016966,5.705667,5.772232,118012,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,90,Leukemia,Leukemia,female,4.315545,0.019895,4.276638,4.354741,49197,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,90,Leukemia,Leukemia,male,7.596732,0.029588,7.538850,7.654956,68815,us_total_nchs,2020-2024,us_mortality_age_adjusted_per_100k,[]
mortality,110,Kaposi Sarcoma,Kaposi Sarcoma,both,0.407423,0.007294,0.393251,0.421975,3235,us_total_nchs,2019-2023,us_mortality_age_adjusted_per_100k,[]
mortality,110,Kaposi Sarcoma,Kaposi Sarcoma,female,0.059652,0.003693,0.052632,0.067378,274,us_total_nchs,2019-2023,us_mortality_age_adjusted_per_100k,[]
mortality,110,Kaposi Sarcoma,Kaposi Sarcoma,male,0.769914,0.014399,0.741948,0.798671,2961,us_total_nchs,2019-2023,us_mortality_age_adjusted_per_100k,[]
mortality,111,Mesothelioma,Mesothelioma,both,0.705910,0.009140,0.688108,0.724069,6133,us_total_nchs,2019-2023,us_mortality_age_adjusted_per_100k,[]
mortality,111,Mesothelioma,Mesothelioma,female,0.383691,0.009152,0.365960,0.402097,1822,us_total_nchs,2019-2023,us_mortality_age_adjusted_per_100k,[]
mortality,111,Mesothelioma,Mesothelioma,male,1.139603,0.017739,1.105096,1.174912,4311,us_total_nchs,2019-2023,us_mortality_age_adjusted_per_100k,[]
